# Bottom hexagon layer (z = -2)
-1.5  0.0 -2.0    # Node 0
-0.75 1.299 -2.0  # Node 1
 0.75 1.299 -2.0  # Node 2
 1.5  0.0 -2.0    # Node 3
 0.75 -1.299 -2.0 # Node 4
-0.75 -1.299 -2.0 # Node 5

# Middle hexagon layer (z = 0)
-1.5  0.0  0.0    # Node 6
-0.75 1.299 0.0   # Node 7
 0.75 1.299 0.0   # Node 8
 1.5  0.0  0.0    # Node 9
 0.75 -1.299 0.0  # Node 10
-0.75 -1.299 0.0  # Node 11

# Top hexagon layer (z = 2)
-1.5  0.0  2.0    # Node 12
-0.75 1.299 2.0   # Node 13
 0.75 1.299 2.0   # Node 14
 1.5  0.0  2.0    # Node 15
 0.75 -1.299 2.0  # Node 16
-0.75 -1.299 2.0  # Node 17
